Name,Period,percentageAnnualChange
'Brent',2005-03,4.25
'Brent',2010-11,10.46
'Brent',2012-04,0.65
'Brent',2005-04,2.6
'Brent',2010-12,7.94
'Brent',2012-05,0.92
'Brent',2005-05,0.96
'Brent',2012-06,4.66
'Brent',2005-06,0.29
'Brent',2012-07,7.97
'Brent',2005-07,1
'Brent',2008-01,14.18
'Brent',2012-08,10.78
'Brent',2005-08,0.81
'Brent',2008-02,10.84
'Brent',2012-09,5.55
'Brent',2005-09,1.27
'Brent',2008-03,9.44
'Brent',2008-04,6.55
'Brent',2008-05,6.33
'Brent',2008-06,3.57
'Brent',2008-07,2.02
'Brent',2008-08,-0.9
'Brent',2013-01,5.24
'Brent',2008-09,-2.55
'Brent',2006-01,3.56
'Brent',2013-02,6.09
'Brent',2006-02,3.99
'Brent',2011-10,1.91
'Brent',2013-03,5.72
'Brent',2006-03,3.93
'Brent',2011-11,3.19
'Brent',2013-04,9.72
'Brent',2006-04,4.27
'Brent',2011-12,2.61
'Brent',2013-05,8.84
'Brent',2006-05,4.85
'Brent',2013-06,6.96
'Brent',2006-06,5.42
'Brent',2013-07,3.85
'Brent',2006-07,4.16
'Brent',2009-01,-13.45
'Brent',2013-08,4.19
'Brent',2006-08,3.31
'Brent',2009-02,-12.17
'Brent',2013-09,9.16
'Brent',2007-10,14.57
'Brent',2006-09,3.94
'Brent',2009-03,-11.08
'Brent',2007-11,14.44
'Brent',2009-04,-9.23
'Brent',2007-12,12.58
'Brent',2009-05,-12.07
'Brent',2009-06,-11.4
'Brent',2009-07,-13.98
'Brent',2009-08,-11.13
'Brent',2014-01,12.11
'Brent',2009-09,-12.11
'Brent',2014-02,12.59
'Brent',2012-10,4.82
'Brent',2014-03,13.74
'Brent',2005-10,1.45
'Brent',2012-11,2.63
'Brent',2014-04,16.15
'Brent',2005-11,2.95
'Brent',2012-12,6.76
'Brent',2014-05,19.05
'Brent',2005-12,2.74
'Brent',2014-06,19.91
'Brent',2014-07,20.2
'Brent',2014-08,16.94
'Brent',2014-09,17.19
'Brent',2008-10,-5.01
'Brent',2008-11,-7.32
'Brent',2008-12,-9.51
'Brent',2015-01,15.81
'Brent',2015-02,15.44
'Brent',2013-10,11.38
'Brent',2015-03,15.39
'Brent',2006-10,6.94
'Brent',2013-11,14.87
'Brent',2015-04,13.38
'Brent',2006-11,6
'Brent',2013-12,11.69
'Brent',2015-05,12.52
'Brent',2006-12,6.95
'Brent',2015-06,8.74
'Brent',2015-07,8.5
'Brent',2015-08,9.04
'Brent',2015-09,8.65
'Brent',2009-10,-5.89
'Brent',2009-11,-3.17
'Brent',2010-01,4.91
'Brent',2009-12,1.18
'Brent',2010-02,5.09
'Brent',2010-03,6.32
'Brent',2010-04,6.81
'Brent',2016-01,11.01
'Brent',2010-05,10.56
'Brent',2016-02,14.66
'Brent',2010-06,9.31
'Brent',2014-10,15.35
'Brent',2016-03,11.7
'Brent',2010-07,12.33
'Brent',2014-11,14.38
'Brent',2016-04,13.88
'Brent',2010-08,12.75
'Brent',2014-12,16.62
'Brent',2010-09,15.78
'Brent',2011-01,7.06
'Brent',2011-02,4.41
'Brent',2011-03,3.19
'Brent',2011-04,2.67
'Brent',2011-05,3.49
'Brent',2011-06,3.77
'Brent',2015-10,12.56
'Brent',2011-07,3.16
'Brent',2007-01,6.36
'Brent',2015-11,10.28
'Brent',2011-08,1.65
'Brent',2007-02,10.17
'Brent',2015-12,11.66
'Brent',2011-09,2.25
'Brent',2007-03,10.72
'Brent',2007-04,12.84
'Brent',2007-05,12.27
'Brent',2007-06,13.46
'Brent',2007-07,15.81
'Brent',2007-08,17.37
'Brent',2012-01,5.83
'Brent',2007-09,18.86
'Brent',2005-01,6.82
'Brent',2012-02,5.42
'Brent',2005-02,4.19
'Brent',2010-10,12.15
'Brent',2012-03,4.75
'Brent',2016-05,12.32
'Brent',2016-06,15.18
'Brent',2016-07,13.54
'Brent',2016-08,11.21
'Brent',2016-09,10.84
'Brent',2016-10,10.07
'Brent',2016-11,10.32
'Brent',2016-12,4.61
'Brent',2017-01,0
'Brent',2017-02,-2.32
