Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,percentageAnnualChange
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2010-12,31,monthly,8.03
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2012-05,12,monthly,24.82
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2012-06,21,monthly,16.29
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2012-07,16,monthly,29.16
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-01,16,monthly,30.74
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2012-08,17,monthly,17.72
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-02,33,monthly,13.59
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2012-09,15,monthly,20.63
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-10,33,monthly,7.77
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-03,6,monthly,0.42
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-11,21,monthly,8.31
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-04,5,monthly,-8.7
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2006-12,22,monthly,7.69
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-05,29,monthly,-5.22
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-06,9,monthly,-3.53
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-07,11,monthly,-5.35
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-08,8,monthly,-0.31
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-01,16,monthly,-11.46
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2008-09,6,monthly,0.55
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-02,21,monthly,-2.22
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2011-10,21,monthly,-1.31
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-03,19,monthly,0.09
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2011-11,21,monthly,11.27
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-04,13,monthly,12.66
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2011-12,24,monthly,11.52
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-05,32,monthly,0.79
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-06,12,monthly,22.15
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-07,29,monthly,19.9
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2009-01,5,monthly,-15.16
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2013-08,95,monthly,30.17
'City of London',http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2009-02,6,monthly,-13.3
