Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,percentageAnnualChange
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2008-12,166,monthly,-13.81
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-01,304,monthly,13.13
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-02,223,monthly,11.17
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2013-10,381,monthly,6.11
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-03,293,monthly,8.97
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-01,271,monthly,6.56
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2013-11,332,monthly,6.02
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-04,281,monthly,8.81
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-02,271,monthly,4.57
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2013-12,324,monthly,7.85
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-05,297,monthly,6.91
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-03,354,monthly,3.35
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-06,386,monthly,6.18
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-04,374,monthly,3.43
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-07,399,monthly,6.42
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-05,367,monthly,2.62
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-08,352,monthly,5.47
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-06,424,monthly,0.97
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2015-09,317,monthly,7.11
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2009-10,268,monthly,-2.22
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-07,432,monthly,0.48
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2009-11,243,monthly,-0.17
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-08,490,monthly,-0.06
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2010-01,231,monthly,9.98
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2009-12,312,monthly,5.21
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2005-09,508,monthly,0.42
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2010-02,207,monthly,13.36
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2010-03,254,monthly,14.98
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2010-04,246,monthly,13.84
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2016-01,260,monthly,14.09
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2010-05,230,monthly,14.2
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2016-02,251,monthly,14.39
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2010-06,284,monthly,12.59
'Ealing',http://landregistry.data.gov.uk/id/region/ealing,E09000009,2014-10,322,monthly,20.53
