Name,URI,Region_GSS_code,Period,SalesVolume,ReportingPeriod,percentageAnnualChange
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-03,229,monthly,12.37
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-10,231,monthly,1.71
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-03,352,monthly,24.83
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2012-11,184,monthly,12.73
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-04,276,monthly,18.02
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-11,273,monthly,4.47
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-04,311,monthly,23.69
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2012-12,189,monthly,13.62
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-05,277,monthly,16.28
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2005-12,299,monthly,14.64
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-05,320,monthly,21.62
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-06,223,monthly,15.62
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-06,327,monthly,20.64
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-07,260,monthly,16.05
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-07,372,monthly,22.96
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-08,227,monthly,13.27
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-08,328,monthly,27.9
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2014-09,212,monthly,10.41
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2007-09,275,monthly,37.7
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2010-10,197,monthly,16.6
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2010-11,177,monthly,16.47
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2010-12,201,monthly,17.17
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2015-01,190,monthly,9.01
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2008-01,186,monthly,18.86
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2015-02,188,monthly,7.46
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2008-02,149,monthly,19.77
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2013-10,222,monthly,8.83
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2015-03,202,monthly,8.02
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-10,360,monthly,13.61
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2008-03,133,monthly,13.53
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2013-11,264,monthly,9.05
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2015-04,163,monthly,4.92
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-11,350,monthly,16.56
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2008-04,186,monthly,6.09
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2013-12,230,monthly,10.46
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2015-05,174,monthly,3.38
'Kensington and Chelsea',http://landregistry.data.gov.uk/id/region/kensington-and-chelsea,E09000020,2006-12,375,monthly,15.96
